supplier_id,supplier_name,country,category,rating,payment_terms,lead_time_days,contract_start,contract_end,sensitivity,delay_rate_pct
S001,星辰物流有限公司,中国,物流,A,60天,5,2025-01-01,2027-12-31,常规,8
S001C,星辰物流(广州)有限公司,中国,物流,B,45天,7,2025-06-01,2027-05-31,常规,6
S002,云图信息技术有限公司,中国,软件,B,30天,15,2025-03-01,2026-12-31,常规,4
S003,恒远电子科技有限公司,中国,电子元器件,A,45天,10,2025-10-01,2027-09-30,常规,3
S004,蓝海包装制品有限公司,中国,包装材料,C,30天,8,2024-06-01,2026-11-30,常规,12
S005,中科软件股份有限公司,中国,软件,A,30天,20,2025-02-01,2027-01-31,常规,2
S006,环宇办公用品有限公司,中国,办公用品,B,30天,3,2024-01-01,2026-12-31,低敏级,2
S007,Global Parts GmbH,德国,零部件,A,45天,25,2025-04-01,2027-03-31,常规,4
S008,ABC Logistics Singapore Pte Ltd,新加坡,物流,B,30天,6,2025-05-01,2026-10-31,常规,5
S009,ABC Logistics Holding Ltd,中国香港,物流,A,45天,9,2024-11-01,2027-06-30,常规,6
S017,迅捷耗材供应链有限公司,中国,办公耗材,B,15天,2,2025-07-01,2027-06-30,低敏级,3
S020,华信电线有限公司,中国,包装材料,A,30天,3,2025-01-01,2026-12-31,常规,1
S021,锐驰机械有限公司,中国,物流,B,45天,4,2025-01-01,2026-12-31,常规,2
S022,蓝天化工有限公司,中国,软件,C,60天,5,2025-01-01,2026-12-31,常规,3
S023,优选面料有限公司,中国,电子元器件,A,30天,6,2025-01-01,2026-12-31,常规,4
S024,恒信模具有限公司,中国,办公用品,B,45天,7,2025-01-01,2026-12-31,常规,5
S025,捷达运输有限公司,中国,包装材料,C,60天,8,2025-01-01,2026-12-31,常规,6
S026,明达光电有限公司,中国,物流,A,30天,9,2025-01-01,2026-12-31,常规,7
S027,泰和金属有限公司,中国,软件,B,45天,10,2025-01-01,2026-12-31,常规,8
S028,新绿环保有限公司,中国,电子元器件,C,60天,11,2025-01-01,2026-12-31,常规,9
S029,卓越标识有限公司,中国,办公用品,A,30天,12,2025-01-01,2026-12-31,常规,10
S030,瑞丰纸业有限公司,中国,包装材料,B,45天,13,2025-01-01,2026-12-31,常规,11
S031,腾飞五金有限公司,中国,物流,C,60天,14,2025-01-01,2026-12-31,常规,12
S032,康泰医疗器械有限公司,中国,软件,A,30天,15,2025-01-01,2026-12-31,常规,13
S033,慧联通信有限公司,中国,电子元器件,B,45天,16,2025-01-01,2026-12-31,常规,14
S034,源创能源有限公司,中国,办公用品,C,60天,17,2025-01-01,2026-12-31,常规,1
S035,百川数据有限公司,中国,包装材料,A,30天,18,2025-01-01,2026-12-31,常规,2
S036,安捷检测有限公司,中国,物流,B,45天,19,2025-01-01,2026-12-31,常规,3
S037,正大咨询有限公司,中国,软件,C,60天,20,2025-01-01,2026-12-31,常规,4
